model;spearmans;mse;accuracy;sim_wp;sim_lc;sim_jc_sanchez;sim_jc_seco;sim_lin_sanchez;sim_lin_seco
itdl-au;0,57104949;0,260630338;0,82278481;0,394694612;0,394694612;0,214215637;0,15583034;0,157854128;0,158591657
itdl-au;0,603008864;0,250543742;0,797468354;0,398364128;0,398364128;0,213936002;0,1554787;0,157146987;0,156730953
itdl-au;0,561828237;0,26438648;0,784810127;0,396067992;0,396067992;0,213446072;0,156084751;0,157195359;0,157417211
itdl-au;0,590580219;0,252520392;0,82278481;0,395674837;0,395674837;0,212768834;0,153495964;0,156020345;0,155613776
itdl-au;0,609175458;0,249139028;0,797468354;0,394215973;0,394215973;0,213217181;0,15417533;0,155011546;0,156393022
itdl-au;0,650680643;0,2377547;0,772151899;0,393044227;0,393044227;0,213751575;0,154740514;0,157949033;0,156261126
itdl-au;0,628954378;0,244450209;0,772151899;0,388091689;0,388091689;0,207300937;0,149993294;0,149915465;0,152330041
itdl-au;0,661753783;0,23409879;0,797468354;0,391390277;0,391390277;0,210498331;0,150022685;0,14959291;0,152266902
itdl-au;0,681341787;0,231993866;0,82278481;0,393279508;0,393279508;0,211165453;0,153457417;0,153333612;0,154323955
itdl-au;0,657801818;0,233388747;0,784810127;0,390448067;0,390448067;0,208113379;0,150430369;0,157987941;0,15531026
itdl-au;0,688272046;0,228916867;0,784810127;0,394454834;0,394454834;0,209769028;0,149145308;0,152802645;0,150713882
itdl-au;0,553618839;0,275511479;0,696202532;0,396848409;0,396848409;0,217829736;0,162949248;0,16349011;0,166042697
itdl-au;0,54844501;0,276104211;0,708860759;0,394299547;0,394299547;0,217177911;0,159542218;0,162686158;0,161984418
itdl-au;0,561522771;0,275692732;0,721518987;0,388959996;0,388959996;0,214373976;0,161458143;0,160956203;0,164382979
itdl-au;0,574638715;0,272435309;0,683544304;0,39088251;0,39088251;0,216400813;0,156176551;0,158400882;0,16101762
itdl-au;0,552225151;0,276335516;0,683544304;0,393214009;0,393214009;0,214769259;0,156149273;0,157296096;0,158853341
itdl-au;0,585520939;0,270150225;0,708860759;0,391450324;0,391450324;0,212792146;0,1553385;0,157769786;0,159699037
itdl-au;0,573435942;0,267270729;0,683544304;0,391687647;0,391687647;0,217463515;0,160876198;0,16012399;0,163411889
itdl-au;0,575898762;0,264360386;0,683544304;0,386121651;0,386121651;0,210101707;0,150359557;0,154539245;0,155544385
itdl-au;0,59224119;0,260161751;0,708860759;0,392950775;0,392950775;0,213782539;0,152556488;0,155699696;0,15717859
itdl-au;0,631073548;0,246349437;0,759493671;0,385063136;0,385063136;0,211723377;0,148987815;0,153194039;0,153019452
itdl-au;0,653124371;0,236343661;0,708860759;0,386253016;0,386253016;0,20977736;0,151090329;0,153845767;0,154106298
